Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 12:47:19
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","Turbine.f_in.W",
"Pa","kg/s",
2.41439e+06,1.66568,
2.42244e+06,1.67036,
2.43049e+06,1.67502,
2.43854e+06,1.67967,
2.44658e+06,1.68431,
2.45463e+06,1.68894,
2.46268e+06,1.69355,
2.47073e+06,1.69815,
2.47878e+06,1.70274,
2.48682e+06,1.70731,
2.49487e+06,1.71188,
2.50292e+06,1.71643,
2.51097e+06,1.72097,
2.51902e+06,1.72549,
2.52706e+06,1.73001,
2.53511e+06,1.73451,
2.54316e+06,1.739,
2.55121e+06,1.74348,
2.55926e+06,1.74795,
2.5673e+06,1.7524,
2.57535e+06,1.75684,
2.5834e+06,1.76127,
2.59145e+06,1.76569,
2.5995e+06,1.7701,
2.60754e+06,1.77449,
2.61559e+06,1.77888,
2.62364e+06,1.78325,
2.63169e+06,1.78761,
2.63973e+06,1.79196,
2.64778e+06,1.79629,
2.65583e+06,1.80062,
2.66388e+06,1.80493,
2.67193e+06,1.80923,
2.67997e+06,1.81353,
2.68802e+06,1.8178,
2.69607e+06,1.82207,
2.70412e+06,1.82633,
2.71217e+06,1.83058,
2.72021e+06,1.83481,
2.72826e+06,1.83903,
2.73631e+06,1.84324,
2.74436e+06,1.84745,
2.75241e+06,1.85164,
2.76045e+06,1.85581,
2.7685e+06,1.85998,
2.77655e+06,1.86414,
2.7846e+06,1.86828,
2.79265e+06,1.87242,
2.80069e+06,1.87654,
2.80874e+06,1.88066,
2.81679e+06,1.88476,
2.82484e+06,1.88885,
2.83289e+06,1.89293,
2.84093e+06,1.897,
2.84898e+06,1.90106,
2.85703e+06,1.90511,
2.86508e+06,1.90915,
2.87313e+06,1.91318,
2.88117e+06,1.9172,
2.88922e+06,1.92121,
2.89727e+06,1.9252,
2.90532e+06,1.92919,
2.91337e+06,1.93317,
2.92141e+06,1.93713,
2.92946e+06,1.94109,
