Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 17:46:23
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","CC.T_c",
"Pa","K",
2.41439e+06,3200.27,
2.42244e+06,3199.96,
2.43049e+06,3199.65,
2.43854e+06,3199.35,
2.44658e+06,3199.05,
2.45463e+06,3198.76,
2.46268e+06,3198.46,
2.47073e+06,3198.17,
2.47878e+06,3197.89,
2.48682e+06,3197.6,
2.49487e+06,3197.32,
2.50292e+06,3197.04,
2.51097e+06,3196.77,
2.51902e+06,3196.49,
2.52706e+06,3196.22,
2.53511e+06,3195.96,
2.54316e+06,3195.69,
2.55121e+06,3195.43,
2.55926e+06,3195.17,
2.5673e+06,3194.91,
2.57535e+06,3194.66,
2.5834e+06,3194.41,
2.59145e+06,3194.16,
2.5995e+06,3193.91,
2.60754e+06,3193.67,
2.61559e+06,3193.43,
2.62364e+06,3193.19,
2.63169e+06,3192.95,
2.63973e+06,3192.72,
2.64778e+06,3192.48,
2.65583e+06,3192.25,
2.66388e+06,3192.03,
2.67193e+06,3191.8,
2.67997e+06,3191.58,
2.68802e+06,3191.36,
2.69607e+06,3191.14,
2.70412e+06,3190.92,
2.71217e+06,3190.71,
2.72021e+06,3190.5,
2.72826e+06,3190.29,
2.73631e+06,3190.08,
2.74436e+06,3189.87,
2.75241e+06,3189.67,
2.76045e+06,3189.47,
2.7685e+06,3189.27,
2.77655e+06,3189.07,
2.7846e+06,3188.88,
2.79265e+06,3188.69,
2.80069e+06,3188.5,
2.80874e+06,3188.31,
2.81679e+06,3188.12,
2.82484e+06,3187.93,
2.83289e+06,3187.75,
2.84093e+06,3187.57,
2.84898e+06,3187.39,
2.85703e+06,3187.21,
2.86508e+06,3187.04,
2.87313e+06,3186.86,
2.88117e+06,3186.69,
2.88922e+06,3186.52,
2.89727e+06,3186.35,
2.90532e+06,3186.19,
2.91337e+06,3186.02,
2.92141e+06,3185.86,
2.92946e+06,3185.7,
2.93751e+06,3185.54,
2.94556e+06,3185.38,
2.95361e+06,3185.22,
2.96165e+06,3185.07,
2.9697e+06,3184.92,
2.97775e+06,3184.76,
2.9858e+06,3184.61,
2.99385e+06,3184.47,
3.00189e+06,3184.32,
3.00994e+06,3184.18,
3.01799e+06,3184.03,
3.02604e+06,3183.89,
3.03409e+06,3183.75,
3.04213e+06,3183.61,
3.05018e+06,3183.47,
3.05823e+06,3183.34,
3.06628e+06,3183.2,
3.07433e+06,3183.07,
3.08237e+06,3182.94,
3.09042e+06,3182.81,
3.09847e+06,3182.68,
3.10652e+06,3182.56,
3.11457e+06,3182.43,
3.12261e+06,3182.31,
3.13066e+06,3182.18,
3.13871e+06,3182.06,
3.14676e+06,3181.94,
3.15481e+06,3181.83,
3.16285e+06,3181.71,
3.1709e+06,3181.59,
3.17895e+06,3181.48,
3.187e+06,3181.37,
3.19505e+06,3181.25,
3.20309e+06,3181.14,
3.21114e+06,3181.03,
3.21919e+06,3180.93,
3.22724e+06,3180.82,
3.23528e+06,3180.71,
3.24333e+06,3180.61,
3.25138e+06,3180.5,
3.25943e+06,3180.4,
3.26748e+06,3180.29,
3.27552e+06,3180.19,
3.28357e+06,3180.09,
3.29162e+06,3179.99,
3.29967e+06,3179.89,
3.30772e+06,3179.78,
3.31576e+06,3179.68,
3.32381e+06,3179.58,
3.33186e+06,3179.48,
3.33991e+06,3179.39,
3.34796e+06,3179.29,
3.356e+06,3179.19,
3.36405e+06,3179.09,
3.3721e+06,3179,
3.38015e+06,3178.9,
3.3882e+06,3178.8,
3.39624e+06,3178.71,
3.40429e+06,3178.61,
3.41234e+06,3178.52,
3.42039e+06,3178.43,
3.42844e+06,3178.33,
3.43648e+06,3178.24,
3.44453e+06,3178.15,
3.45258e+06,3178.06,
3.46063e+06,3177.97,
3.46868e+06,3177.88,
3.47672e+06,3177.79,
3.48477e+06,3177.7,
3.49282e+06,3177.61,
3.50087e+06,3177.52,
3.50892e+06,3177.43,
3.51696e+06,3177.34,
3.52501e+06,3177.26,
3.53306e+06,3177.17,
3.54111e+06,3177.08,
3.54916e+06,3177,
3.5572e+06,3176.91,
3.56525e+06,3176.83,
3.5733e+06,3176.74,
3.58135e+06,3176.66,
3.5894e+06,3176.58,
3.59744e+06,3176.49,
3.60549e+06,3176.41,
3.61354e+06,3176.33,
3.62159e+06,3176.25,
3.62964e+06,3176.17,
3.63768e+06,3176.08,
3.64573e+06,3176,
3.65378e+06,3175.92,
3.66183e+06,3175.84,
3.66988e+06,3175.77,
3.67792e+06,3175.69,
3.68597e+06,3175.61,
3.69402e+06,3175.53,
3.70207e+06,3175.45,
3.71012e+06,3175.38,
3.71816e+06,3175.3,
3.72621e+06,3175.22,
3.73426e+06,3175.15,
3.74231e+06,3175.07,
3.75036e+06,3175,
3.7584e+06,3174.92,
3.76645e+06,3174.85,
3.7745e+06,3174.77,
3.78255e+06,3174.7,
3.7906e+06,3174.63,
3.79864e+06,3174.55,
3.80669e+06,3174.48,
3.81474e+06,3174.41,
3.82279e+06,3174.34,
3.83083e+06,3174.27,
3.83888e+06,3174.2,
3.84693e+06,3174.12,
3.85498e+06,3174.05,
3.86303e+06,3173.98,
3.87107e+06,3173.92,
3.87912e+06,3173.85,
3.88717e+06,3173.78,
3.89522e+06,3173.71,
3.90327e+06,3173.64,
3.91131e+06,3173.57,
3.91936e+06,3173.5,
3.92741e+06,3173.44,
3.93546e+06,3173.37,
3.94351e+06,3173.31,
3.95155e+06,3173.24,
3.9596e+06,3173.17,
3.96765e+06,3173.11,
3.9757e+06,3173.04,
3.98375e+06,3172.98,
3.99179e+06,3172.91,
3.99984e+06,3172.85,
4.00789e+06,3172.79,
4.01594e+06,3172.72,
4.02399e+06,3172.66,



