Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 13:39:35
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","CC.g.W",
"Pa","kg/s",
2.41439e+06,16.774,
2.42244e+06,16.8004,
2.43049e+06,16.8266,
2.43854e+06,16.8527,
2.44658e+06,16.8788,
2.45463e+06,16.9048,
2.46268e+06,16.9307,
2.47073e+06,16.9565,
2.47878e+06,16.9822,
2.48682e+06,17.0078,
2.49487e+06,17.0334,
2.50292e+06,17.0589,
2.51097e+06,17.0843,
2.51902e+06,17.1097,
2.52706e+06,17.1349,
2.53511e+06,17.1601,
2.54316e+06,17.1852,
2.55121e+06,17.2102,
2.55926e+06,17.2352,
2.5673e+06,17.26,
2.57535e+06,17.2848,
2.5834e+06,17.3095,
2.59145e+06,17.3342,
2.5995e+06,17.3588,
2.60754e+06,17.3833,
2.61559e+06,17.4077,
2.62364e+06,17.432,
2.63169e+06,17.4563,
2.63973e+06,17.4805,
2.64778e+06,17.5046,
2.65583e+06,17.5287,
2.66388e+06,17.5527,
2.67193e+06,17.5766,
2.67997e+06,17.6004,
2.68802e+06,17.6242,
2.69607e+06,17.6479,
2.70412e+06,17.6715,
2.71217e+06,17.6951,
2.72021e+06,17.7186,
2.72826e+06,17.742,
2.73631e+06,17.7654,
2.74436e+06,17.7887,
2.75241e+06,17.8119,
2.76045e+06,17.835,
2.7685e+06,17.8581,
2.77655e+06,17.8811,
2.7846e+06,17.9041,
2.79265e+06,17.927,
2.80069e+06,17.9498,
2.80874e+06,17.9726,
2.81679e+06,17.9952,
2.82484e+06,18.0179,
2.83289e+06,18.0404,
2.84093e+06,18.0629,
2.84898e+06,18.0854,
2.85703e+06,18.1077,
2.86508e+06,18.13,
2.87313e+06,18.1523,
2.88117e+06,18.1745,
2.88922e+06,18.1966,
2.89727e+06,18.2186,
2.90532e+06,18.2406,
2.91337e+06,18.2626,
2.92141e+06,18.2844,
2.92946e+06,18.3063,
2.93751e+06,18.328,
2.94556e+06,18.3497,
2.95361e+06,18.3713,
2.96165e+06,18.3929,
2.9697e+06,18.4144,
2.97775e+06,18.4359,
2.9858e+06,18.4573,
2.99385e+06,18.4786,
3.00189e+06,18.4999,
3.00994e+06,18.5211,
3.01799e+06,18.5423,
3.02604e+06,18.5634,
3.03409e+06,18.5844,
3.04213e+06,18.6054,
3.05018e+06,18.6263,
3.05823e+06,18.6472,
3.06628e+06,18.668,
3.07433e+06,18.6888,
3.08237e+06,18.7095,
3.09042e+06,18.7302,
3.09847e+06,18.7508,
3.10652e+06,18.7713,
3.11457e+06,18.7918,
3.12261e+06,18.8123,
3.13066e+06,18.8326,
3.13871e+06,18.853,
3.14676e+06,18.8732,
3.15481e+06,18.8935,
3.16285e+06,18.9136,
3.1709e+06,18.9338,
3.17895e+06,18.9538,
3.187e+06,18.9738,
3.19505e+06,18.9938,
3.20309e+06,19.0137,
3.21114e+06,19.0336,
3.21919e+06,19.0534,
3.22724e+06,19.0731,
3.23528e+06,19.0929,
3.24333e+06,19.1126,
3.25138e+06,19.1323,
3.25943e+06,19.1519,
3.26748e+06,19.1715,
3.27552e+06,19.1911,
3.28357e+06,19.2106,
3.29162e+06,19.2302,
3.29967e+06,19.2497,
3.30772e+06,19.2691,
3.31576e+06,19.2885,
3.32381e+06,19.3079,
3.33186e+06,19.3273,
3.33991e+06,19.3467,
3.34796e+06,19.366,
3.356e+06,19.3853,
3.36405e+06,19.4045,
3.3721e+06,19.4237,
3.38015e+06,19.4429,
3.3882e+06,19.4621,
3.39624e+06,19.4813,
3.40429e+06,19.5004,
3.41234e+06,19.5194,
3.42039e+06,19.5385,
3.42844e+06,19.5575,
3.43648e+06,19.5765,
3.44453e+06,19.5955,
3.45258e+06,19.6144,
3.46063e+06,19.6334,
3.46868e+06,19.6522,
3.47672e+06,19.6711,
3.48477e+06,19.6899,
3.49282e+06,19.7087,
3.50087e+06,19.7275,
3.50892e+06,19.7463,
3.51696e+06,19.765,
3.52501e+06,19.7837,
3.53306e+06,19.8024,
3.54111e+06,19.821,
3.54916e+06,19.8396,
3.5572e+06,19.8582,
3.56525e+06,19.8768,
3.5733e+06,19.8953,
3.58135e+06,19.9138,
3.5894e+06,19.9323,
3.59744e+06,19.9508,
3.60549e+06,19.9692,
3.61354e+06,19.9876,
3.62159e+06,20.006,
3.62964e+06,20.0243,
3.63768e+06,20.0427,
3.64573e+06,20.061,
3.65378e+06,20.0793,
3.66183e+06,20.0975,
3.66988e+06,20.1157,
3.67792e+06,20.1339,
3.68597e+06,20.1521,
3.69402e+06,20.1703,
3.70207e+06,20.1884,
3.71012e+06,20.2065,
3.71816e+06,20.2246,
3.72621e+06,20.2426,
3.73426e+06,20.2607,
3.74231e+06,20.2787,
3.75036e+06,20.2967,
3.7584e+06,20.3146,
3.76645e+06,20.3326,
3.7745e+06,20.3505,
3.78255e+06,20.3684,
3.7906e+06,20.3862,
3.79864e+06,20.4041,
3.80669e+06,20.4219,
3.81474e+06,20.4397,
3.82279e+06,20.4574,
3.83083e+06,20.4752,
3.83888e+06,20.4929,
3.84693e+06,20.5106,
3.85498e+06,20.5283,
3.86303e+06,20.5459,
3.87107e+06,20.5635,
3.87912e+06,20.5811,
3.88717e+06,20.5987,
3.89522e+06,20.6163,
3.90327e+06,20.6338,
3.91131e+06,20.6513,
3.91936e+06,20.6688,
3.92741e+06,20.6863,
3.93546e+06,20.7037,
3.94351e+06,20.7212,
3.95155e+06,20.7386,
3.9596e+06,20.7559,
3.96765e+06,20.7733,
3.9757e+06,20.7906,
3.98375e+06,20.8079,
3.99179e+06,20.8252,
3.99984e+06,20.8425,
4.00789e+06,20.8598,
4.01594e+06,20.877,
4.02399e+06,20.8942,



