Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 13:19:25
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","aux1",
"Pa","",
2.41439e+06,0.470269,
2.42244e+06,0.47046,
2.43049e+06,0.470648,
2.43854e+06,0.470833,
2.44658e+06,0.471015,
2.45463e+06,0.471195,
2.46268e+06,0.471372,
2.47073e+06,0.471546,
2.47878e+06,0.471717,
2.48682e+06,0.471886,
2.49487e+06,0.472052,
2.50292e+06,0.472216,
2.51097e+06,0.472376,
2.51902e+06,0.472534,
2.52706e+06,0.47269,
2.53511e+06,0.472843,
2.54316e+06,0.472994,
2.55121e+06,0.473142,
2.55926e+06,0.473287,
2.5673e+06,0.47343,
2.57535e+06,0.473571,
2.5834e+06,0.473709,
2.59145e+06,0.473845,
2.5995e+06,0.473978,
2.60754e+06,0.474109,
2.61559e+06,0.474238,
2.62364e+06,0.474364,
2.63169e+06,0.474488,
2.63973e+06,0.47461,
2.64778e+06,0.47473,
2.65583e+06,0.474847,
2.66388e+06,0.474962,
2.67193e+06,0.475075,
2.67997e+06,0.475186,
2.68802e+06,0.475294,
2.69607e+06,0.475401,
2.70412e+06,0.475505,
2.71217e+06,0.475607,
2.72021e+06,0.475707,
2.72826e+06,0.475805,
2.73631e+06,0.475901,
2.74436e+06,0.475995,
2.75241e+06,0.476087,
2.76045e+06,0.476177,
2.7685e+06,0.476265,
2.77655e+06,0.476351,
2.7846e+06,0.476435,
2.79265e+06,0.476517,
2.80069e+06,0.476598,
2.80874e+06,0.476676,
2.81679e+06,0.476752,
2.82484e+06,0.476827,
2.83289e+06,0.4769,
2.84093e+06,0.476971,
2.84898e+06,0.47704,
2.85703e+06,0.477107,
2.86508e+06,0.477172,
2.87313e+06,0.477236,
2.88117e+06,0.477298,
2.88922e+06,0.477358,
2.89727e+06,0.477417,
2.90532e+06,0.477474,
2.91337e+06,0.477529,
2.92141e+06,0.477582,
2.92946e+06,0.477634,
2.93751e+06,0.477684,
2.94556e+06,0.477733,
2.95361e+06,0.47778,
2.96165e+06,0.477825,
2.9697e+06,0.477869,
2.97775e+06,0.477911,
2.9858e+06,0.477951,
2.99385e+06,0.47799,
3.00189e+06,0.478028,
3.00994e+06,0.478064,
3.01799e+06,0.478098,
3.02604e+06,0.478131,
3.03409e+06,0.478162,
3.04213e+06,0.478192,
3.05018e+06,0.478221,
3.05823e+06,0.478248,
3.06628e+06,0.478273,
3.07433e+06,0.478298,
3.08237e+06,0.47832,
3.09042e+06,0.478342,
