Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:07 Time: 21:16:18
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","Inj_LH2.f_in.W",
"Pa","kg/s",
2.41439e+06,2.3576,
2.42244e+06,2.36162,
2.43049e+06,2.36564,
2.43854e+06,2.36963,
2.44658e+06,2.37362,
2.45463e+06,2.37758,
2.46268e+06,2.38154,
2.47073e+06,2.38548,
2.47878e+06,2.38941,
2.48682e+06,2.39332,
2.49487e+06,2.39722,
2.50292e+06,2.40111,
2.51097e+06,2.40499,
2.51902e+06,2.40885,
2.52706e+06,2.41269,
2.53511e+06,2.41653,
2.54316e+06,2.42035,
2.55121e+06,2.42416,
2.55926e+06,2.42795,
2.5673e+06,2.43173,
2.57535e+06,2.4355,
2.5834e+06,2.43926,
2.59145e+06,2.443,
2.5995e+06,2.44673,
2.60754e+06,2.45045,
2.61559e+06,2.45416,
2.62364e+06,2.45785,
2.63169e+06,2.46153,
2.63973e+06,2.4652,
2.64778e+06,2.46886,
2.65583e+06,2.4725,
2.66388e+06,2.47613,
2.67193e+06,2.47975,
2.67997e+06,2.48336,
2.68802e+06,2.48696,
2.69607e+06,2.49054,
2.70412e+06,2.49412,
2.71217e+06,2.49768,
2.72021e+06,2.50123,
2.72826e+06,2.50476,
2.73631e+06,2.50829,
2.74436e+06,2.5118,
2.75241e+06,2.51531,
2.76045e+06,2.5188,
2.7685e+06,2.52228,
2.77655e+06,2.52575,
2.7846e+06,2.52921,
2.79265e+06,2.53265,
2.80069e+06,2.53609,
2.80874e+06,2.53951,
2.81679e+06,2.54292,
2.82484e+06,2.54633,
2.83289e+06,2.54972,
2.84093e+06,2.5531,
2.84898e+06,2.55647,
2.85703e+06,2.55983,
2.86508e+06,2.56318,
2.87313e+06,2.56651,
2.88117e+06,2.56984,
2.88922e+06,2.57316,
2.89727e+06,2.57646,
2.90532e+06,2.57976,
2.91337e+06,2.58305,
2.92141e+06,2.58632,
2.92946e+06,2.58959,
2.93751e+06,2.59284,
2.94556e+06,2.59609,
2.95361e+06,2.59932,
2.96165e+06,2.60254,
2.9697e+06,2.60576,
2.97775e+06,2.60896,
2.9858e+06,2.61216,
2.99385e+06,2.61534,
3.00189e+06,2.61852,
3.00994e+06,2.62168,
3.01799e+06,2.62484,
3.02604e+06,2.62798,
3.03409e+06,2.63112,
3.04213e+06,2.63425,
3.05018e+06,2.63736,
3.05823e+06,2.64047,
3.06628e+06,2.64357,
