Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 17:49:06
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","ControlPanel.C_E",
"Pa","-",
2.41439e+06,1.29755,
2.42244e+06,1.29849,
2.43049e+06,1.29943,
2.43854e+06,1.30036,
2.44658e+06,1.30128,
2.45463e+06,1.3022,
2.46268e+06,1.30311,
2.47073e+06,1.30402,
2.47878e+06,1.30492,
2.48682e+06,1.30581,
2.49487e+06,1.3067,
2.50292e+06,1.30759,
2.51097e+06,1.30846,
2.51902e+06,1.30934,
2.52706e+06,1.31021,
2.53511e+06,1.31107,
2.54316e+06,1.31193,
2.55121e+06,1.31278,
2.55926e+06,1.31363,
2.5673e+06,1.31447,
2.57535e+06,1.31531,
2.5834e+06,1.31614,
2.59145e+06,1.31697,
2.5995e+06,1.31779,
2.60754e+06,1.31861,
2.61559e+06,1.31942,
2.62364e+06,1.32023,
2.63169e+06,1.32104,
2.63973e+06,1.32184,
2.64778e+06,1.32263,
2.65583e+06,1.32342,
2.66388e+06,1.32421,
2.67193e+06,1.32499,
2.67997e+06,1.32577,
2.68802e+06,1.32654,
2.69607e+06,1.32731,
2.70412e+06,1.32807,
2.71217e+06,1.32883,
2.72021e+06,1.32959,
2.72826e+06,1.33034,
2.73631e+06,1.33109,
2.74436e+06,1.33183,
2.75241e+06,1.33257,
2.76045e+06,1.33331,
2.7685e+06,1.33404,
2.77655e+06,1.33477,
2.7846e+06,1.33549,
2.79265e+06,1.33621,
2.80069e+06,1.33692,
2.80874e+06,1.33764,
2.81679e+06,1.33834,
2.82484e+06,1.33905,
2.83289e+06,1.33975,
2.84093e+06,1.34045,
2.84898e+06,1.34114,
2.85703e+06,1.34183,
2.86508e+06,1.34251,
2.87313e+06,1.3432,
2.88117e+06,1.34387,
2.88922e+06,1.34455,
2.89727e+06,1.34522,
2.90532e+06,1.34589,
2.91337e+06,1.34655,
2.92141e+06,1.34722,
2.92946e+06,1.34787,
2.93751e+06,1.34853,
2.94556e+06,1.34918,
2.95361e+06,1.34983,
2.96165e+06,1.35047,
2.9697e+06,1.35111,
2.97775e+06,1.35175,
2.9858e+06,1.35239,
2.99385e+06,1.35302,
3.00189e+06,1.35365,
3.00994e+06,1.35427,
3.01799e+06,1.35489,
3.02604e+06,1.35551,
3.03409e+06,1.35613,
3.04213e+06,1.35674,
3.05018e+06,1.35735,
3.05823e+06,1.35796,
3.06628e+06,1.35856,
3.07433e+06,1.35917,
3.08237e+06,1.35976,
3.09042e+06,1.36036,
3.09847e+06,1.36095,
3.10652e+06,1.36154,
3.11457e+06,1.36213,
3.12261e+06,1.36271,
3.13066e+06,1.3633,
3.13871e+06,1.36387,
3.14676e+06,1.36445,
3.15481e+06,1.36502,
3.16285e+06,1.36559,
3.1709e+06,1.36616,
3.17895e+06,1.36673,
3.187e+06,1.36729,
3.19505e+06,1.36785,
3.20309e+06,1.36841,
3.21114e+06,1.36896,
3.21919e+06,1.36951,
3.22724e+06,1.37006,
3.23528e+06,1.37061,
3.24333e+06,1.37116,
3.25138e+06,1.3717,
3.25943e+06,1.37224,
3.26748e+06,1.37278,
3.27552e+06,1.37332,
3.28357e+06,1.37386,
3.29162e+06,1.37439,
3.29967e+06,1.37493,
3.30772e+06,1.37546,
3.31576e+06,1.37598,
3.32381e+06,1.37651,
3.33186e+06,1.37704,
3.33991e+06,1.37756,
3.34796e+06,1.37808,
3.356e+06,1.3786,
3.36405e+06,1.37912,
3.3721e+06,1.37963,
3.38015e+06,1.38015,
3.3882e+06,1.38066,
3.39624e+06,1.38117,
3.40429e+06,1.38168,
3.41234e+06,1.38219,
3.42039e+06,1.38269,
3.42844e+06,1.3832,
3.43648e+06,1.3837,
3.44453e+06,1.3842,
3.45258e+06,1.3847,
3.46063e+06,1.38519,
3.46868e+06,1.38569,
3.47672e+06,1.38618,
3.48477e+06,1.38667,
3.49282e+06,1.38716,
3.50087e+06,1.38765,
3.50892e+06,1.38814,
3.51696e+06,1.38862,
3.52501e+06,1.38911,
3.53306e+06,1.38959,
3.54111e+06,1.39007,
3.54916e+06,1.39055,
3.5572e+06,1.39103,
3.56525e+06,1.3915,
3.5733e+06,1.39198,
3.58135e+06,1.39245,
3.5894e+06,1.39292,
3.59744e+06,1.39339,
3.60549e+06,1.39386,
3.61354e+06,1.39432,
3.62159e+06,1.39479,
3.62964e+06,1.39525,
3.63768e+06,1.39571,
3.64573e+06,1.39618,
3.65378e+06,1.39663,
3.66183e+06,1.39709,
3.66988e+06,1.39755,
3.67792e+06,1.398,
3.68597e+06,1.39846,
3.69402e+06,1.39891,
3.70207e+06,1.39936,
3.71012e+06,1.39981,
3.71816e+06,1.40026,
3.72621e+06,1.4007,
3.73426e+06,1.40115,
3.74231e+06,1.40159,
3.75036e+06,1.40203,
3.7584e+06,1.40247,
3.76645e+06,1.40291,
3.7745e+06,1.40335,
3.78255e+06,1.40379,
3.7906e+06,1.40422,
3.79864e+06,1.40466,
3.80669e+06,1.40509,
3.81474e+06,1.40552,
3.82279e+06,1.40595,
3.83083e+06,1.40638,
3.83888e+06,1.40681,
3.84693e+06,1.40723,
3.85498e+06,1.40766,
3.86303e+06,1.40808,
3.87107e+06,1.4085,
3.87912e+06,1.40892,
3.88717e+06,1.40934,
3.89522e+06,1.40976,
3.90327e+06,1.41018,
3.91131e+06,1.41059,
3.91936e+06,1.41101,
3.92741e+06,1.41142,
3.93546e+06,1.41184,
3.94351e+06,1.41225,
3.95155e+06,1.41266,
3.9596e+06,1.41306,
3.96765e+06,1.41347,
3.9757e+06,1.41388,
3.98375e+06,1.41428,
3.99179e+06,1.41469,
3.99984e+06,1.41509,
4.00789e+06,1.41549,
4.01594e+06,1.41589,
4.02399e+06,1.41629,



