Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 17:45:40
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","ThrustMonitor.Thrust",
"Pa","N",
2.41439e+06,50165.3,
2.42244e+06,50280.6,
2.43049e+06,50395.5,
2.43854e+06,50510.1,
2.44658e+06,50624.3,
2.45463e+06,50738.1,
2.46268e+06,50851.6,
2.47073e+06,50964.7,
2.47878e+06,51077.5,
2.48682e+06,51189.9,
2.49487e+06,51302,
2.50292e+06,51413.7,
2.51097e+06,51525.1,
2.51902e+06,51636.1,
2.52706e+06,51746.7,
2.53511e+06,51857.1,
2.54316e+06,51967.1,
2.55121e+06,52076.7,
2.55926e+06,52186,
2.5673e+06,52295,
2.57535e+06,52403.6,
2.5834e+06,52512,
2.59145e+06,52619.9,
2.5995e+06,52727.6,
2.60754e+06,52834.9,
2.61559e+06,52941.9,
2.62364e+06,53048.6,
2.63169e+06,53155,
2.63973e+06,53261,
2.64778e+06,53366.7,
2.65583e+06,53472.1,
2.66388e+06,53577.2,
2.67193e+06,53682,
2.67997e+06,53786.5,
2.68802e+06,53890.6,
2.69607e+06,53994.5,
2.70412e+06,54098,
2.71217e+06,54201.2,
2.72021e+06,54304.2,
2.72826e+06,54406.8,
2.73631e+06,54509.1,
2.74436e+06,54611.1,
2.75241e+06,54712.9,
2.76045e+06,54814.3,
2.7685e+06,54915.4,
2.77655e+06,55016.3,
2.7846e+06,55116.8,
2.79265e+06,55217.1,
2.80069e+06,55317.1,
2.80874e+06,55416.7,
2.81679e+06,55516.1,
2.82484e+06,55615.3,
2.83289e+06,55714.1,
2.84093e+06,55812.6,
2.84898e+06,55910.9,
2.85703e+06,56008.9,
2.86508e+06,56106.6,
2.87313e+06,56204,
2.88117e+06,56301.2,
2.88922e+06,56398.1,
2.89727e+06,56494.7,
2.90532e+06,56591.1,
2.91337e+06,56687.1,
2.92141e+06,56782.9,
2.92946e+06,56878.5,
2.93751e+06,56973.8,
2.94556e+06,57068.8,
2.95361e+06,57163.5,
2.96165e+06,57258,
2.9697e+06,57352.2,
2.97775e+06,57446.2,
2.9858e+06,57539.9,
2.99385e+06,57633.4,
3.00189e+06,57726.6,
3.00994e+06,57819.5,
3.01799e+06,57912.2,
3.02604e+06,58004.6,
3.03409e+06,58096.8,
3.04213e+06,58188.7,
3.05018e+06,58280.4,
3.05823e+06,58371.9,
3.06628e+06,58463.1,
3.07433e+06,58554,
3.08237e+06,58644.7,
3.09042e+06,58735.2,
3.09847e+06,58825.4,
3.10652e+06,58915.4,
3.11457e+06,59005.2,
3.12261e+06,59094.7,
3.13066e+06,59183.9,
3.13871e+06,59273,
3.14676e+06,59361.8,
3.15481e+06,59450.3,
3.16285e+06,59538.7,
3.1709e+06,59626.8,
3.17895e+06,59714.6,
3.187e+06,59802.3,
3.19505e+06,59889.7,
3.20309e+06,59976.9,
3.21114e+06,60063.9,
3.21919e+06,60150.6,
3.22724e+06,60237.1,
3.23528e+06,60323.6,
3.24333e+06,60409.9,
3.25138e+06,60496,
3.25943e+06,60582,
3.26748e+06,60667.9,
3.27552e+06,60753.7,
3.28357e+06,60839.3,
3.29162e+06,60924.7,
3.29967e+06,61010.1,
3.30772e+06,61095.3,
3.31576e+06,61180.4,
3.32381e+06,61265.4,
3.33186e+06,61350.2,
3.33991e+06,61434.9,
3.34796e+06,61519.5,
3.356e+06,61603.9,
3.36405e+06,61688.2,
3.3721e+06,61772.4,
3.38015e+06,61856.5,
3.3882e+06,61940.4,
