Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 13:18:12
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","ControlPanel.Isp_0",
"Pa","s",
2.41439e+06,304.961,
2.42244e+06,305.184,
2.43049e+06,305.405,
2.43854e+06,305.624,
2.44658e+06,305.842,
2.45463e+06,306.059,
2.46268e+06,306.274,
2.47073e+06,306.488,
2.47878e+06,306.701,
2.48682e+06,306.912,
2.49487e+06,307.122,
2.50292e+06,307.331,
2.51097e+06,307.539,
2.51902e+06,307.745,
2.52706e+06,307.95,
2.53511e+06,308.154,
2.54316e+06,308.356,
2.55121e+06,308.558,
2.55926e+06,308.758,
2.5673e+06,308.957,
2.57535e+06,309.155,
2.5834e+06,309.351,
2.59145e+06,309.547,
2.5995e+06,309.741,
2.60754e+06,309.934,
2.61559e+06,310.126,
2.62364e+06,310.317,
2.63169e+06,310.507,
2.63973e+06,310.695,
2.64778e+06,310.883,
2.65583e+06,311.07,
2.66388e+06,311.255,
2.67193e+06,311.439,
2.67997e+06,311.623,
2.68802e+06,311.805,
2.69607e+06,311.986,
2.70412e+06,312.166,
2.71217e+06,312.346,
2.72021e+06,312.524,
2.72826e+06,312.701,
2.73631e+06,312.877,
2.74436e+06,313.053,
2.75241e+06,313.227,
2.76045e+06,313.4,
2.7685e+06,313.572,
2.77655e+06,313.744,
2.7846e+06,313.914,
2.79265e+06,314.084,
2.80069e+06,314.253,
2.80874e+06,314.42,
2.81679e+06,314.587,
2.82484e+06,314.753,
2.83289e+06,314.918,
2.84093e+06,315.082,
2.84898e+06,315.245,
2.85703e+06,315.408,
2.86508e+06,315.569,
2.87313e+06,315.73,
2.88117e+06,315.89,
2.88922e+06,316.049,
2.89727e+06,316.207,
2.90532e+06,316.364,
2.91337e+06,316.521,
2.92141e+06,316.676,
2.92946e+06,316.831,
