Experiment: steady_offdesign Library: PROSIS_TRABAJO Component: off_design Partition: off_design
User: Anabel Date: 2021:02:06 Time: 16:43:26
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 MATH V3.2.7 PROSIS_TRABAJO V0.0 
Programme and Version: EcosimPro V6.0.0

"LPRES.Altitude";"ControlPanel.C_E";
"m";"-";
0;0.144364;
1000;0.343267;
2000;0.523509;
3000;0.686468;
4000;0.833449;
5000;0.965686;
6000;1.08434;
7000;1.19052;
8000;1.28525;
9000;1.36951;
10000;1.44422;
11000;1.51022;
12000;1.56754;
13000;1.61652;
14000;1.65836;
15000;1.69411;
16000;1.72466;
17000;1.75076;
18000;1.77307;
19000;1.79213;
20000;1.80842;
21000;1.82232;
22000;1.83415;
23000;1.84423;
24000;1.85283;
25000;1.86016;
26000;1.86643;
27000;1.87178;
28000;1.87636;
29000;1.88028;
30000;1.88364;
31000;1.88651;
32000;1.88898;
33000;1.8911;
34000;1.8929;
35000;1.89444;
36000;1.89576;
37000;1.89689;
38000;1.89787;
39000;1.89871;
40000;1.89943;
41000;1.90006;
42000;1.9006;
43000;1.90106;
44000;1.90147;
45000;1.90183;
46000;1.90213;
47000;1.9024;
48000;1.90264;
49000;1.90285;
50000;1.90303;
51000;1.90319;
52000;1.90333;
53000;1.90346;
54000;1.90357;
55000;1.90367;
56000;1.90376;
57000;1.90384;
58000;1.90391;
59000;1.90398;
60000;1.90403;
61000;1.90408;
62000;1.90412;
63000;1.90416;
64000;1.90419;
65000;1.90422;
66000;1.90425;
67000;1.90427;
68000;1.90429;
69000;1.90431;
70000;1.90432;
71000;1.90433;
72000;1.90435;
73000;1.90436;
74000;1.90436;
75000;1.90437;
76000;1.90438;
77000;1.90438;
78000;1.90439;
79000;1.90439;
80000;1.90439;
81000;1.9044;
82000;1.9044;
83000;1.9044;
84000;1.9044;
85000;1.9044;
86000;1.90441;
87000;1.90441;
88000;1.90441;
89000;1.90441;
90000;1.90441;
91000;1.90441;
92000;1.90441;
93000;1.90441;
94000;1.90441;
95000;1.90441;
96000;1.90441;
97000;1.90441;
98000;1.90441;
99000;1.90441;
100000;1.90441;



