Experiment: steady_offdesign Library: PROSIS_TRABAJO Component: off_design Partition: off_design
User: Anabel Date: 2021:02:06 Time: 16:44:09
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 MATH V3.2.7 PROSIS_TRABAJO V0.0 
Programme and Version: EcosimPro V6.0.0

"LPRES.Altitude";"CC.c_star";
"m";"m/s";
0;2305.16;
1000;2305.16;
2000;2305.16;
3000;2305.16;
4000;2305.16;
5000;2305.16;
6000;2305.16;
7000;2305.16;
8000;2305.16;
9000;2305.16;
10000;2305.16;
11000;2305.16;
12000;2305.16;
13000;2305.16;
14000;2305.16;
15000;2305.16;
16000;2305.16;
17000;2305.16;
18000;2305.16;
19000;2305.16;
20000;2305.16;
21000;2305.16;
22000;2305.16;
23000;2305.16;
24000;2305.16;
25000;2305.16;
26000;2305.16;
27000;2305.16;
28000;2305.16;
29000;2305.16;
30000;2305.16;
31000;2305.16;
32000;2305.16;
33000;2305.16;
34000;2305.16;
35000;2305.16;
36000;2305.16;
37000;2305.16;
38000;2305.16;
39000;2305.16;
40000;2305.16;
41000;2305.16;
42000;2305.16;
43000;2305.16;
44000;2305.16;
45000;2305.16;
46000;2305.16;
47000;2305.16;
48000;2305.16;
49000;2305.16;
50000;2305.16;
51000;2305.16;
52000;2305.16;
53000;2305.16;
54000;2305.16;
55000;2305.16;
56000;2305.16;
57000;2305.16;
58000;2305.16;
59000;2305.16;
60000;2305.16;
61000;2305.16;
62000;2305.16;
63000;2305.16;
64000;2305.16;
65000;2305.16;
66000;2305.16;
67000;2305.16;
68000;2305.16;
69000;2305.16;
70000;2305.16;
71000;2305.16;
72000;2305.16;
73000;2305.16;
74000;2305.16;
75000;2305.16;
76000;2305.16;
77000;2305.16;
78000;2305.16;
79000;2305.16;
80000;2305.16;
81000;2305.16;
82000;2305.16;
83000;2305.16;
84000;2305.16;
85000;2305.16;
86000;2305.16;
87000;2305.16;
88000;2305.16;
89000;2305.16;
90000;2305.16;
91000;2305.16;
92000;2305.16;
93000;2305.16;
94000;2305.16;
95000;2305.16;
96000;2305.16;
97000;2305.16;
98000;2305.16;
99000;2305.16;
100000;2305.16;



