Experiment: steady_offdesign Library: PROSIS_TRABAJO Component: off_design Partition: off_design
User: Anabel Date: 2021:02:06 Time: 16:56:43
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 MATH V3.2.7 PROSIS_TRABAJO V0.0 
Programme and Version: EcosimPro V6.0.0

"LPRES.Altitude;""ControlPanel.Thrust"";"
"m;""N"";"
0;6340.63;
1000;15076.7;
2000;22993.1;
3000;30150.5;
4000;36606;
5000;42414;
6000;47625.6;
7000;52289;
8000;56449.8;
9000;60150.6;
10000;63431.6;
11000;66330.5;
12000;68848.2;
13000;70999.3;
14000;72837;
15000;74407.3;
16000;75748.9;
17000;76895.4;
18000;77875.1;
19000;78712.3;
20000;79427.8;
21000;80038.2;
22000;80557.9;
23000;81000.7;
24000;81378.2;
25000;81700.4;
26000;81975.6;
27000;82210.7;
28000;82411.9;
29000;82584;
30000;82731.5;
31000;82857.8;
32000;82966.3;
33000;83059.1;
34000;83138.3;
35000;83206;
36000;83264;
37000;83313.7;
38000;83356.5;
39000;83393.3;
40000;83425.1;
41000;83452.5;
42000;83476.3;
43000;83496.9;
44000;83514.8;
45000;83530.3;
46000;83543.8;
47000;83555.6;
48000;83566;
49000;83575.1;
50000;83583.1;
51000;83590.2;
52000;83596.5;
53000;83602.1;
54000;83607.1;
55000;83611.5;
56000;83615.5;
57000;83618.9;
58000;83622;
59000;83624.8;
60000;83627.2;
61000;83629.3;
62000;83631.2;
63000;83632.9;
64000;83634.3;
65000;83635.6;
66000;83636.7;
67000;83637.7;
68000;83638.5;
69000;83639.3;
70000;83639.9;
71000;83640.5;
72000;83641;
73000;83641.4;
74000;83641.8;
75000;83642.1;
76000;83642.4;
77000;83642.6;
78000;83642.8;
79000;83643;
80000;83643.1;
81000;83643.2;
82000;83643.3;
83000;83643.4;
84000;83643.5;
85000;83643.6;
86000;83643.6;
87000;83643.7;
88000;83643.7;
89000;83643.7;
90000;83643.8;
91000;83643.8;
92000;83643.8;
93000;83643.8;
94000;83643.8;
95000;83643.9;
96000;83643.9;
97000;83643.9;
98000;83643.9;
99000;83643.9;
100000;83643.9;
