Experiment: steady_offdesign Library: PROSIS_TRABAJO Component: off_design Partition: off_design
User: Anabel Date: 2021:02:06 Time: 16:56:37
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 MATH V3.2.7 PROSIS_TRABAJO V0.0 
Programme and Version: EcosimPro V6.0.0

"LPRES.Altitude";"ControlPanel.Isp";
"m";"m/s";
0;332.783;
1000;791.285;
2000;1206.77;
3000;1582.42;
4000;1921.24;
5000;2226.06;
6000;2499.59;
7000;2744.34;
8000;2962.72;
9000;3156.95;
10000;3329.15;
11000;3481.3;
12000;3613.44;
13000;3726.34;
14000;3822.79;
15000;3905.2;
16000;3975.62;
17000;4035.79;
18000;4087.21;
19000;4131.15;
20000;4168.7;
21000;4200.74;
22000;4228.01;
23000;4251.25;
24000;4271.07;
25000;4287.98;
26000;4302.42;
27000;4314.76;
28000;4325.32;
29000;4334.35;
30000;4342.09;
31000;4348.72;
32000;4354.41;
33000;4359.28;
34000;4363.44;
35000;4367;
36000;4370.04;
37000;4372.65;
38000;4374.89;
39000;4376.83;
40000;4378.49;
41000;4379.94;
42000;4381.18;
43000;4382.26;
44000;4383.2;
45000;4384.02;
46000;4384.73;
47000;4385.35;
48000;4385.89;
49000;4386.37;
50000;4386.79;
51000;4387.16;
52000;4387.49;
53000;4387.79;
54000;4388.05;
55000;4388.28;
56000;4388.49;
57000;4388.67;
58000;4388.83;
59000;4388.97;
60000;4389.1;
61000;4389.21;
62000;4389.31;
63000;4389.4;
64000;4389.48;
65000;4389.54;
66000;4389.6;
67000;4389.65;
68000;4389.7;
69000;4389.74;
70000;4389.77;
71000;4389.8;
72000;4389.83;
73000;4389.85;
74000;4389.87;
75000;4389.88;
76000;4389.9;
77000;4389.91;
78000;4389.92;
79000;4389.93;
80000;4389.94;
81000;4389.94;
82000;4389.95;
83000;4389.95;
84000;4389.96;
85000;4389.96;
86000;4389.96;
87000;4389.97;
88000;4389.97;
89000;4389.97;
90000;4389.97;
91000;4389.97;
92000;4389.97;
93000;4389.97;
94000;4389.98;
95000;4389.98;
96000;4389.98;
97000;4389.98;
98000;4389.98;
99000;4389.98;
100000;4389.98;



