Experiment: steady_offdesign Library: PROSIS_TRABAJO Component: off_design Partition: off_design
User: Anabel Date: 2021:02:06 Time: 16:57:15
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 MATH V3.2.7 PROSIS_TRABAJO V0.0 
Programme and Version: EcosimPro V6.0.0

"LPRES.Altitude";"ControlPanel.W_tot";
"m";"kg/s";
0;19.0534;
1000;19.0534;
2000;19.0534;
3000;19.0534;
4000;19.0534;
5000;19.0534;
6000;19.0534;
7000;19.0534;
8000;19.0534;
9000;19.0534;
10000;19.0534;
11000;19.0534;
12000;19.0534;
13000;19.0534;
14000;19.0534;
15000;19.0534;
16000;19.0534;
17000;19.0534;
18000;19.0534;
19000;19.0534;
20000;19.0534;
21000;19.0534;
22000;19.0534;
23000;19.0534;
24000;19.0534;
25000;19.0534;
26000;19.0534;
27000;19.0534;
28000;19.0534;
29000;19.0534;
30000;19.0534;
31000;19.0534;
32000;19.0534;
33000;19.0534;
34000;19.0534;
35000;19.0534;
36000;19.0534;
37000;19.0534;
38000;19.0534;
39000;19.0534;
40000;19.0534;
41000;19.0534;
42000;19.0534;
43000;19.0534;
44000;19.0534;
45000;19.0534;
46000;19.0534;
47000;19.0534;
48000;19.0534;
49000;19.0534;
50000;19.0534;
51000;19.0534;
52000;19.0534;
53000;19.0534;
54000;19.0534;
55000;19.0534;
56000;19.0534;
57000;19.0534;
58000;19.0534;
59000;19.0534;
60000;19.0534;
61000;19.0534;
62000;19.0534;
63000;19.0534;
64000;19.0534;
65000;19.0534;
66000;19.0534;
67000;19.0534;
68000;19.0534;
69000;19.0534;
70000;19.0534;
71000;19.0534;
72000;19.0534;
73000;19.0534;
74000;19.0534;
75000;19.0534;
76000;19.0534;
77000;19.0534;
78000;19.0534;
79000;19.0534;
80000;19.0534;
81000;19.0534;
82000;19.0534;
83000;19.0534;
84000;19.0534;
85000;19.0534;
86000;19.0534;
87000;19.0534;
88000;19.0534;
89000;19.0534;
90000;19.0534;
91000;19.0534;
92000;19.0534;
93000;19.0534;
94000;19.0534;
95000;19.0534;
96000;19.0534;
97000;19.0534;
98000;19.0534;
99000;19.0534;
100000;19.0534;



