Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance2
User: diego Date: 2021:02:06 Time: 17:21:20
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","Regulator_3.dp",
"Pa","Pa",
2.41439e+06,848796,
2.42244e+06,838051,
2.43049e+06,827340,
2.43854e+06,816667,
2.44658e+06,806029,
2.45463e+06,795428,
2.46268e+06,784865,
2.47073e+06,774339,
2.47878e+06,763851,
2.48682e+06,753401,
2.49487e+06,742990,
2.50292e+06,732619,
2.51097e+06,722287,
2.51902e+06,711996,
2.52706e+06,701745,
2.53511e+06,691535,
2.54316e+06,681366,
2.55121e+06,671238,
2.55926e+06,661153,
2.5673e+06,651110,
2.57535e+06,641109,
2.5834e+06,631152,
2.59145e+06,621238,
2.5995e+06,611368,
2.60754e+06,601541,
2.61559e+06,591759,
2.62364e+06,582022,
2.63169e+06,572329,
2.63973e+06,562682,
2.64778e+06,553080,
2.65583e+06,543524,
2.66388e+06,534014,
2.67193e+06,524550,
2.67997e+06,515133,
2.68802e+06,505763,
2.69607e+06,496440,
2.70412e+06,487164,
2.71217e+06,477936,
2.72021e+06,468756,
2.72826e+06,459624,
2.73631e+06,450540,
2.74436e+06,441505,
2.75241e+06,432519,
2.76045e+06,423581,
2.7685e+06,414693,
2.77655e+06,405855,
2.7846e+06,397066,
2.79265e+06,388326,
2.80069e+06,379637,
2.80874e+06,370998,
2.81679e+06,362409,
2.82484e+06,353871,
2.83289e+06,345384,
2.84093e+06,336947,
2.84898e+06,328562,
2.85703e+06,320228,
2.86508e+06,311945,
2.87313e+06,303713,
2.88117e+06,295534,
2.88922e+06,287406,
2.89727e+06,279330,
2.90532e+06,271306,
2.91337e+06,263335,
2.92141e+06,255415,
2.92946e+06,247548,
2.93751e+06,239734,
2.94556e+06,231972,
2.95361e+06,224264,
2.96165e+06,216608,
2.9697e+06,209005,
2.97775e+06,201455,
2.9858e+06,193958,
2.99385e+06,186515,
3.00189e+06,179125,
3.00994e+06,171788,
3.01799e+06,164506,
3.02604e+06,157276,
3.03409e+06,150100,
3.04213e+06,142978,
3.05018e+06,135911,
3.05823e+06,128896,
3.06628e+06,121936,
3.07433e+06,115030,
3.08237e+06,108178,
3.09042e+06,101379,
3.09847e+06,94635.6,
3.10652e+06,87946.3,
3.11457e+06,81310.3,
3.12261e+06,74728.8,
3.13066e+06,68202.4,
3.13871e+06,61730.2,
3.14676e+06,55312,
3.15481e+06,48948.4,
3.16285e+06,42639.2,
3.1709e+06,36384.1,
3.17895e+06,30183.8,
3.187e+06,24038.3,
3.19505e+06,17947,
3.20309e+06,11909.8,
3.21114e+06,5927.66,
3.21919e+06,0.292919,
3.22724e+06,-5897.3,
3.23528e+06,-11782.5,
3.24333e+06,-17674.6,
3.25138e+06,-23555.7,
3.25943e+06,-29427.2,
3.26748e+06,-35296.6,
3.27552e+06,-41160.4,
3.28357e+06,-47013.9,
3.29162e+06,-52863,
3.29967e+06,-58713.9,
3.30772e+06,-64555.6,
3.31576e+06,-70381.8,
3.32381e+06,-76206.8,
3.33186e+06,-82030.2,
3.33991e+06,-87844.3,
3.34796e+06,-93650.8,
3.356e+06,-99453.6,
3.36405e+06,-105250,
3.3721e+06,-111039,
3.38015e+06,-116822,
3.3882e+06,-122602,
3.39624e+06,-128376,
3.40429e+06,-134137,
3.41234e+06,-139895,
3.42039e+06,-145649,
3.42844e+06,-151395,
3.43648e+06,-157134,
3.44453e+06,-162867,
3.45258e+06,-168596,
3.46063e+06,-174316,
3.46868e+06,-180029,
3.47672e+06,-185738,
3.48477e+06,-191442,
3.49282e+06,-197135,
3.50087e+06,-202822,
3.50892e+06,-208506,
3.51696e+06,-214182,
3.52501e+06,-219850,
3.53306e+06,-225512,
3.54111e+06,-231169,
3.54916e+06,-236819,
3.5572e+06,-242461,
3.56525e+06,-248097,
3.5733e+06,-253729,
3.58135e+06,-259353,
3.5894e+06,-264967,
3.59744e+06,-270576,
3.60549e+06,-276180,
3.61354e+06,-281777,
3.62159e+06,-287365,
3.62964e+06,-292948,
3.63768e+06,-298525,
3.64573e+06,-304094,
3.65378e+06,-309656,
3.66183e+06,-315213,
3.66988e+06,-320765,
3.67792e+06,-326304,
3.68597e+06,-331838,
3.69402e+06,-337368,
3.70207e+06,-342891,
3.71012e+06,-348405,
3.71816e+06,-353912,
3.72621e+06,-359415,
3.73426e+06,-364910,
3.74231e+06,-370395,
3.75036e+06,-375871,
3.7584e+06,-381349,
3.76645e+06,-386818,
3.7745e+06,-392274,
3.78255e+06,-397724,
3.7906e+06,-403172,
3.79864e+06,-408611,
3.80669e+06,-414039,
3.81474e+06,-419462,
3.82279e+06,-424885,
3.83083e+06,-430301,
3.83888e+06,-435696,
3.84693e+06,-441086,
3.85498e+06,-446481,
3.86303e+06,-451866,
3.87107e+06,-457237,
3.87912e+06,-462603,
3.88717e+06,-467971,
3.89522e+06,-473327,
3.90327e+06,-478658,
3.91131e+06,-483984,
3.91936e+06,-489335,
3.92741e+06,-494671,
3.93546e+06,-499975,
3.94351e+06,-505275,
3.95155e+06,-510587,
3.9596e+06,-515887,
3.96765e+06,-521158,
3.9757e+06,-526428,
3.98375e+06,-531736,
3.99179e+06,-537040,
3.99984e+06,-542250,
4.00789e+06,-547465,
4.01594e+06,-552739,
4.02399e+06,-557984,



