Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance2
User: diego Date: 2021:02:06 Time: 17:20:35
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","CC.T_c",
"Pa","K",
2.41439e+06,3183.56,
2.42244e+06,3183.53,
2.43049e+06,3183.49,
2.43854e+06,3183.46,
2.44658e+06,3183.42,
2.45463e+06,3183.39,
2.46268e+06,3183.36,
2.47073e+06,3183.33,
2.47878e+06,3183.29,
2.48682e+06,3183.26,
2.49487e+06,3183.23,
2.50292e+06,3183.2,
2.51097e+06,3183.16,
2.51902e+06,3183.13,
2.52706e+06,3183.1,
2.53511e+06,3183.07,
2.54316e+06,3183.04,
2.55121e+06,3183.01,
2.55926e+06,3182.98,
2.5673e+06,3182.95,
2.57535e+06,3182.92,
2.5834e+06,3182.89,
2.59145e+06,3182.86,
2.5995e+06,3182.83,
2.60754e+06,3182.8,
2.61559e+06,3182.77,
2.62364e+06,3182.74,
2.63169e+06,3182.71,
2.63973e+06,3182.68,
2.64778e+06,3182.65,
2.65583e+06,3182.62,
2.66388e+06,3182.59,
2.67193e+06,3182.56,
2.67997e+06,3182.53,
2.68802e+06,3182.51,
2.69607e+06,3182.48,
2.70412e+06,3182.45,
2.71217e+06,3182.42,
2.72021e+06,3182.39,
2.72826e+06,3182.37,
2.73631e+06,3182.34,
2.74436e+06,3182.31,
2.75241e+06,3182.29,
2.76045e+06,3182.26,
2.7685e+06,3182.23,
2.77655e+06,3182.21,
2.7846e+06,3182.18,
2.79265e+06,3182.15,
2.80069e+06,3182.13,
2.80874e+06,3182.1,
2.81679e+06,3182.07,
2.82484e+06,3182.05,
2.83289e+06,3182.02,
2.84093e+06,3182,
2.84898e+06,3181.97,
2.85703e+06,3181.95,
2.86508e+06,3181.92,
2.87313e+06,3181.9,
2.88117e+06,3181.87,
2.88922e+06,3181.85,
2.89727e+06,3181.82,
2.90532e+06,3181.8,
2.91337e+06,3181.77,
2.92141e+06,3181.75,
2.92946e+06,3181.72,
2.93751e+06,3181.7,
2.94556e+06,3181.68,
2.95361e+06,3181.65,
2.96165e+06,3181.63,
2.9697e+06,3181.6,
2.97775e+06,3181.58,
2.9858e+06,3181.56,
