Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance2
User: diego Date: 2021:02:06 Time: 17:21:08
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","CC.c_star",
"Pa","m/s",
2.41439e+06,2306.12,
2.42244e+06,2306.1,
2.43049e+06,2306.09,
2.43854e+06,2306.08,
2.44658e+06,2306.07,
2.45463e+06,2306.06,
2.46268e+06,2306.04,
2.47073e+06,2306.03,
2.47878e+06,2306.02,
2.48682e+06,2306.01,
2.49487e+06,2306,
2.50292e+06,2305.98,
2.51097e+06,2305.97,
2.51902e+06,2305.96,
2.52706e+06,2305.95,
2.53511e+06,2305.94,
2.54316e+06,2305.93,
2.55121e+06,2305.92,
2.55926e+06,2305.91,
2.5673e+06,2305.89,
2.57535e+06,2305.88,
2.5834e+06,2305.87,
2.59145e+06,2305.86,
2.5995e+06,2305.85,
2.60754e+06,2305.84,
2.61559e+06,2305.83,
2.62364e+06,2305.82,
2.63169e+06,2305.81,
2.63973e+06,2305.8,
2.64778e+06,2305.79,
2.65583e+06,2305.78,
2.66388e+06,2305.77,
2.67193e+06,2305.76,
2.67997e+06,2305.74,
2.68802e+06,2305.73,
2.69607e+06,2305.72,
2.70412e+06,2305.71,
2.71217e+06,2305.7,
2.72021e+06,2305.69,
2.72826e+06,2305.68,
2.73631e+06,2305.67,
2.74436e+06,2305.66,
2.75241e+06,2305.65,
2.76045e+06,2305.64,
2.7685e+06,2305.64,
2.77655e+06,2305.63,
2.7846e+06,2305.62,
2.79265e+06,2305.61,
2.80069e+06,2305.6,
2.80874e+06,2305.59,
2.81679e+06,2305.58,
2.82484e+06,2305.57,
2.83289e+06,2305.56,
2.84093e+06,2305.55,
2.84898e+06,2305.54,
2.85703e+06,2305.53,
2.86508e+06,2305.52,
2.87313e+06,2305.51,
2.88117e+06,2305.5,
2.88922e+06,2305.5,
2.89727e+06,2305.49,
2.90532e+06,2305.48,
2.91337e+06,2305.47,
2.92141e+06,2305.46,
2.92946e+06,2305.45,
2.93751e+06,2305.44,
2.94556e+06,2305.43,
2.95361e+06,2305.43,
2.96165e+06,2305.42,
2.9697e+06,2305.41,
2.97775e+06,2305.4,
2.9858e+06,2305.39,
2.99385e+06,2305.38,
3.00189e+06,2305.37,
3.00994e+06,2305.37,
3.01799e+06,2305.36,
3.02604e+06,2305.35,
3.03409e+06,2305.34,
3.04213e+06,2305.33,
3.05018e+06,2305.32,
3.05823e+06,2305.32,
3.06628e+06,2305.31,
3.07433e+06,2305.3,
3.08237e+06,2305.29,
3.09042e+06,2305.28,
3.09847e+06,2305.28,
3.10652e+06,2305.27,
3.11457e+06,2305.26,
3.12261e+06,2305.25,
3.13066e+06,2305.25,
3.13871e+06,2305.24,
3.14676e+06,2305.23,
3.15481e+06,2305.22,
3.16285e+06,2305.21,
3.1709e+06,2305.21,
3.17895e+06,2305.2,
3.187e+06,2305.19,
3.19505e+06,2305.18,
3.20309e+06,2305.18,
3.21114e+06,2305.17,
3.21919e+06,2305.16,
3.22724e+06,2305.16,
3.23528e+06,2305.15,
3.24333e+06,2305.14,
3.25138e+06,2305.13,
3.25943e+06,2305.13,
3.26748e+06,2305.12,
3.27552e+06,2305.11,
3.28357e+06,2305.1,
3.29162e+06,2305.1,
3.29967e+06,2305.09,
3.30772e+06,2305.08,
3.31576e+06,2305.08,
3.32381e+06,2305.07,
3.33186e+06,2305.06,
3.33991e+06,2305.05,
3.34796e+06,2305.05,
3.356e+06,2305.04,
3.36405e+06,2305.03,
3.3721e+06,2305.03,
3.38015e+06,2305.02,
3.3882e+06,2305.01,
3.39624e+06,2305.01,
3.40429e+06,2305,
3.41234e+06,2304.99,
3.42039e+06,2304.98,
3.42844e+06,2304.98,
3.43648e+06,2304.97,
3.44453e+06,2304.96,
3.45258e+06,2304.96,
3.46063e+06,2304.95,
3.46868e+06,2304.94,
3.47672e+06,2304.94,
3.48477e+06,2304.93,
3.49282e+06,2304.92,
3.50087e+06,2304.92,
3.50892e+06,2304.91,
3.51696e+06,2304.9,
3.52501e+06,2304.9,
3.53306e+06,2304.89,
3.54111e+06,2304.88,
3.54916e+06,2304.88,
3.5572e+06,2304.87,
3.56525e+06,2304.86,
3.5733e+06,2304.86,
3.58135e+06,2304.85,
3.5894e+06,2304.84,
3.59744e+06,2304.84,
3.60549e+06,2304.83,
3.61354e+06,2304.82,
3.62159e+06,2304.82,
3.62964e+06,2304.81,
3.63768e+06,2304.81,
3.64573e+06,2304.8,
3.65378e+06,2304.79,
3.66183e+06,2304.79,
3.66988e+06,2304.78,
3.67792e+06,2304.77,
3.68597e+06,2304.77,
3.69402e+06,2304.76,
3.70207e+06,2304.75,
3.71012e+06,2304.75,
3.71816e+06,2304.74,
3.72621e+06,2304.74,
3.73426e+06,2304.73,
3.74231e+06,2304.72,
3.75036e+06,2304.72,
3.7584e+06,2304.71,
3.76645e+06,2304.7,
3.7745e+06,2304.7,
3.78255e+06,2304.69,
3.7906e+06,2304.69,
3.79864e+06,2304.68,
3.80669e+06,2304.67,
3.81474e+06,2304.67,
3.82279e+06,2304.66,
3.83083e+06,2304.66,
3.83888e+06,2304.65,
3.84693e+06,2304.64,
3.85498e+06,2304.64,
3.86303e+06,2304.63,
3.87107e+06,2304.63,
3.87912e+06,2304.62,
3.88717e+06,2304.61,
3.89522e+06,2304.61,
3.90327e+06,2304.6,
3.91131e+06,2304.6,
3.91936e+06,2304.59,
3.92741e+06,2304.58,
3.93546e+06,2304.58,
3.94351e+06,2304.57,
3.95155e+06,2304.57,
3.9596e+06,2304.56,
3.96765e+06,2304.56,
3.9757e+06,2304.55,
3.98375e+06,2304.54,
3.99179e+06,2304.54,
3.99984e+06,2304.53,
4.00789e+06,2304.53,
4.01594e+06,2304.52,
4.02399e+06,2304.52,



